reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
2e87a2f2-bcf7-4a10-968b-2721c8085e34,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok,5,0,3.5.5,2024-07-18 12:07:37,,,3.5.5
2c6994db-6216-49db-94ab-0c983847ed00,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,3.4.3,2024-07-18 08:22:36,,,3.4.3
fb65b4e1-1feb-49b4-a29c-34459ded66b0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Game bagus,5,0,,2024-07-18 08:00:33,,,
83baccb0-0ceb-4d15-978a-5650d1aa03b3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Game nya memang sudah bagus tapi tolong tambahkan fitur connectkan akun google agar suatu saat dihapus data data game nya tidak hilang.,4,0,3.5.5,2024-07-18 07:43:47,,,3.5.5
98eb77d1-8569-4dca-9745-03d3a97ed207,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Terlalu banyak bug nya masa jalannya patah2 padahal sinyal lancar,1,0,3.5.5,2024-07-18 07:08:25,,,3.5.5
fa814807-95cd-475e-8fbe-e82f525bda72,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Game bagus,5,0,,2024-07-18 05:21:35,,,
933cae51-7c5d-4dba-b1d4-b1dfb1e62c6f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aq ska bngt main game ini seru dan menegangkan,5,0,3.5.2,2024-07-17 23:21:34,,,3.5.2
b5717938-6fa6-41b4-9cc3-f6fba1327283,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,,2024-07-17 17:23:13,,,
982f4844-8601-4f4a-b528-09d2cb462553,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Game yang sangat bagus. Rekomendasi banget buat player mobil legends.,5,0,3.5.5,2024-07-17 16:35:52,,,3.5.5
cd3ef8b7-063c-40ae-9a7f-7d692e217624,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kepada developer mohon ditambahin adventure 3 biar makin menantang.,5,0,,2024-07-17 13:53:52,,,
